Rock_Type,F_ppm,Cl_ppm,Br_ppb,I_ppb
Blueschist,385,25,119,41
Blueschist,361,35,123,52
Blueschist,386,26,141,58
Blueschist,379,29,120,31
Blueschist,385,24,99,28
HP eclogite,197,17,121,6
HP eclogite,192,14,77,6
HP eclogite,156,29,152,14
HP eclogite,166,13,59,41
HP eclogite,154,25,37,48
HP eclogite,97,28,43,44
HP eclogite,162,16,64,54
HP eclogite,189,16,47,40
HP eclogite,113,12,123,75
HP eclogite,103,8,74,58
HP eclogite,249,13,115,52
HP eclogite,176,19,174,64
HP eclogite,193,17,175,47
HP eclogite,180,14,149,65
HP eclogite,173,17,143,62
HP eclogite,238,24,134,63
HP eclogite,183,25,149,67
HP eclogite,193,18,150,66
HP eclogite,168,13,144,74
HP eclogite,228,13,152,63
HP eclogite,230,16,168,61
HP eclogite,253,17,173,17
HP eclogite,140,29,39,40
HP eclogite,178,19,84,47
HP eclogite,145,24,37,48
HP eclogite,238,34,102,9
HP eclogite,357,31,174,41
HP eclogite,98,10,69,30
HP eclogite,96,19,54,18
HP eclogite,200,36,77,48
HP eclogite,159,36,95,49
HP eclogite,433,30,102,6
HP eclogite,363,29,99,9
HP eclogite,353,29,105,28
HP eclogite,393,28,101,7
HP eclogite,459,28,102,18
HP eclogite,406,29,101,7
HP eclogite,463,29,102,7
HP eclogite,389,30,93,6
HP eclogite,372,29,90,36
HP eclogite,384,28,102,7
HP eclogite,377,29,105,7
HP eclogite,412,31,102,7
HP eclogite,397,28,103,6
HP eclogite,416,28,102,6
HP eclogite,451,29,102,7
HP eclogite,480,28,97,6
HP eclogite,479,28,101,7
HP eclogite,353,29,87,33
HP eclogite,314,27,97,5
HP eclogite,383,21,132,16
HP eclogite,353,21,131,51
HP eclogite,344,23,164,32
HP eclogite,215,13,108,8
HP eclogite,191,15,108,13
HP eclogite,254,25,112,3
HP eclogite,319,35,121,28
HP eclogite,192,41,45,42
HP eclogite,364,39,126,3
HP eclogite,512,32,125,20
HP eclogite,246,44,77,48
HP eclogite,210,43,72,45
HP eclogite,211,49,97,51
HP eclogite,239,35,116,37
HP eclogite,143,21,84,50
HP eclogite,191,32,104,33
HP eclogite,212,39,77,48
HP eclogite,177,36,128,46
HP eclogite,165,42,168,64
HP eclogite,151,11,93,48
