stage,sample_id,H2O_min_wt%,H2O_max_wt%,F_ppm,Cl_ppm,Br_ppb,I_ppb
HP eclogite,W260044,0.5,2,100,9,61,41
HP eclogite,W260045,0.5,2,105,9,62,59
HP eclogite,W260046,0.5,2,370,44,91,15
HP eclogite,W260047,0.5,2,475,44,90,29
HP eclogite,W260048,0.5,2,475,45,89,30
HP eclogite,W260049,0.5,2,467,44,90,31
HP eclogite,W260050,0.5,2,305,37,53,6
HP eclogite,W260051,0.5,2,223,31,54,6
HP eclogite,W260052,0.5,2,349,32,57,6
HP eclogite,W260053,0.5,2,186,23,35,14
HP eclogite,W260054,0.5,2,449,44,89,3
HP eclogite,W260055,0.5,2,438,45,85,3
HP eclogite,W260056,0.5,2,201,23,65,38
HP eclogite,W260057,0.5,2,200,23,63,42
HP eclogite,W260058,0.5,2,177,23,43,15
HP eclogite,W260059,0.5,2,154,24,41,15
HP eclogite,W260060,0.5,2,167,24,56,50
HP eclogite,W260061,0.5,2,98,19,45,33
HP eclogite,D528122,0.5,2,312,38,94,5
HP eclogite,D528124,0.5,2,185,43,123,55
HP eclogite,D102463,0.5,2,292,40,146,45
HP eclogite,D102464,0.5,2,306,74,188,31
UHP eclogite,E-Gouli-06,0.05,0.5,380,56,31,18
UHP eclogite,E-Gouli-08,0.05,0.5,245,49,31,70
UHP eclogite,E-Gouli-24,0.05,0.5,127,7,29,6
UHP eclogite,LMG-26,0.05,0.5,172,56,7,70
UHP eclogite,LMG-63,0.05,0.5,139,54,31,73
UHP eclogite,LMG-64,0.05,0.5,182,35,5,45
UHP eclogite,LMG-66-2,0.05,0.5,240,37,6,43
UHP eclogite,LMG-69,0.05,0.5,171,51,5,53
UHP eclogite,LMG-71,0.05,0.5,204,55,28,63
UHP eclogite,LMG-72,0.05,0.5,211,53,29,52
UHP eclogite,LMG-73,0.05,0.5,181,54,30,73
UHP eclogite,LMG-74,0.05,0.5,134,55,28,60
UHP eclogite,LMG-06,0.05,0.5,290,31,29,59
UHP eclogite,LMG-76,0.05,0.5,400,36,29,52
UHP eclogite,LMG-77,0.05,0.5,242,18,29,48
UHP eclogite,16TS32,0.05,0.5,141,61,31,64
UHP eclogite,16TS33,0.05,0.5,100,42,7,10
UHP eclogite,16TS36,0.05,0.5,135,60,6,62
UHP eclogite,16TS41,0.05,0.5,150,44,6,53
UHP eclogite,16TS42,0.05,0.5,200,16,31,61
UHP eclogite,16TS44,0.05,0.5,220,40,6,49
UHP eclogite,16TS46A,0.05,0.5,130,80,31,64
UHP eclogite,16TS54,0.05,0.5,110,70,29,66
UHP eclogite,16TS91A,0.05,0.5,360,50,10,24
UHP eclogite,16TS92,0.05,0.5,215,27,33,60
UHP eclogite,16TS105,0.05,0.5,47,35,8,71
UHP eclogite,HB121-10,0.05,0.5,141,47,31,83
UHP eclogite,HB121-13,0.05,0.5,97,38,30,65
UHP eclogite,HB121-21,0.05,0.5,101,30,31,65
UHP eclogite,HB123-5,0.05,0.5,241,37,7,17
UHP eclogite,M101-4,0.05,0.5,123,48,10,81
UHP eclogite,M101-8,0.05,0.5,215,48,10,81
UHP eclogite,M112-8,0.05,0.5,129,27,7,4
UHP eclogite,M152-8,0.05,0.5,195,42,6,3
UHP eclogite,M186-10,0.05,0.5,181,43,10,81
UHP eclogite,M176-17,0.05,0.5,148,36,10,81
UHP eclogite,129-7,0.05,0.5,132,32,12,64
UHP eclogite,129-8,0.05,0.5,123,38,14,81
UHP eclogite,C107-23,0.05,0.5,148,13,5,4
UHP eclogite,C11066,0.05,0.5,32,0,33,18
UHP eclogite,C11036,0.05,0.5,37,40,35,61
UHP eclogite,H607-5**,0.05,0.5,230,57,8,60
UHP eclogite,M101-8#,0.05,0.5,176,51,10,81
UHP eclogite,DC25C,0.05,0.5,150,18,8,1
UHP eclogite,DC25D ,0.05,0.5,169,8,28,0
UHP eclogite,DC94B ,0.05,0.5,90,23,6,13
UHP eclogite,DC30A ,0.05,0.5,203,9,4,0
UHP eclogite,DC46L,0.05,0.5,242,21,8,1
UHP eclogite,DC48G,0.05,0.5,444,23,5,0
UHP eclogite,DC97 ,0.05,0.5,195,3,6,1
UHP eclogite,M17-B810A01,0.05,0.5,280,27,33,72
UHP eclogite,M17-B808D03,0.05,0.5,63,6,34,78
UHP eclogite,M17-B808B03,0.05,0.5,29,8,44,74
UHP eclogite,M17-B819A01,0.05,0.5,10,9,40,65
UHP eclogite,M17-B819A02,0.05,0.5,21,7,33,64
UHP eclogite,M17-B808C01,0.05,0.5,31,9,44,64
UHP eclogite,KB851,0.05,0.5,55,28,30,2
UHP eclogite,KB852,0.05,0.5,94,28,30,3
UHP eclogite,KB853,0.05,0.5,135,37,29,9
UHP eclogite,17Y3,0.05,0.5,231,28,34,78
UHP eclogite,17Y4,0.05,0.5,192,42,31,80
UHP eclogite,17Y6,0.05,0.5,228,38,7,62
UHP eclogite,17Y14,0.05,0.5,168,44,33,82
UHP eclogite,17Y15,0.05,0.5,225,34,30,68
UHP eclogite,17Y17,0.05,0.5,208,34,31,68
UHP eclogite,17Y20,0.05,0.5,40,20,12,63
UHP eclogite,17Y30,0.05,0.5,32,19,13,62
UHP eclogite,17Y31,0.05,0.5,35,20,12,64
UHP eclogite,17Y32,0.05,0.5,31,17,13,63
UHP eclogite,17Y33,0.05,0.5,40,20,31,66
UHP eclogite,17Y34,0.05,0.5,38,25,12,64
