stage,sample_id,H2O_min_wt%,H2O_max_wt%,F_ppm,Cl_ppm,Br_ppb,I_ppb
Blueschist,GT0701,1,5,513,25,119,96
Blueschist,GT0702,1,5,370,29,120,111
Blueschist,GT0703,1,5,493,28,114,123
Blueschist,GT0704,1,5,354,33,138,115
Blueschist,GT0705,1,5,312,23,101,99
Blueschist,GT0706,1,5,335,30,99,70
Blueschist,GT0707,1,5,546,25,113,175
Blueschist,GT0708,1,5,559,40,117,150
Blueschist,GM0601,1,5,550,42,130,114
Blueschist,GM0602,1,5,469,32,123,104
Blueschist,GM0603,1,5,469,35,118,100
Blueschist,16TS86,1,5,547,39,145,134
Blueschist,16TS124,1,5,403,43,137,88
Blueschist,16TS88A,1,5,551,44,128,163
Blueschist,16TS126,1,5,351,38,124,84
Blueschist,16TS132,1,5,537,40,312,102
Blueschist,965-11,1,5,328,19,89,63
Blueschist,CG7-3,1,5,394,28,113,72
Blueschist,CG3-3,1,5,343,32,178,43
Blueschist,4-1.1,1,5,304,32,104,87
Blueschist,4-1.2,1,5,300,30,127,80
Blueschist,4-1.4,1,5,428,34,115,131
Blueschist,4-1.5,1,5,399,39,156,103
Blueschist,4-2.1,1,5,356,36,138,98
Blueschist,4-2.2,1,5,321,35,106,65
Blueschist,4-2.3,1,5,297,36,111,96
Blueschist,4-2.3,1,5,386,34,140,88
Blueschist,4-2.4,1,5,498,34,112,123
Blueschist,4-3.1,1,5,316,35,109,106
Blueschist,4-3.1,1,5,420,33,129,106
Blueschist,4-3.2,1,5,380,35,112,107
Blueschist,4-3.3,1,5,397,34,103,123
Blueschist,4-3.5,1,5,411,25,110,104
Blueschist,K13-3,1,5,484,21,140,128
Blueschist,K13-6,1,5,478,23,111,104
Blueschist,K13-8,1,5,415,26,141,94
Blueschist,K13-14,1,5,322,19,102,38
Blueschist,76-66,1,5,356,21,128,80
Blueschist,76-121,1,5,217,20,106,87
Blueschist,76-187,1,5,439,21,164,95
Blueschist,76-196,1,5,334,18,100,82
Blueschist,76-210,1,5,330,23,137,127
Blueschist,76-315,1,5,427,20,192,153
Blueschist,76-317,1,5,332,15,109,100
Blueschist,76-360,1,5,373,24,88,86
Blueschist,76-362,1,5,256,24,96,50
Blueschist,74-133,1,5,474,24,113,131
Blueschist,3104,1,5,303,21,95,65
Blueschist,19.11,1,5,213,27,99,57
Blueschist,19.9.3,1,5,236,28,129,51
Blueschist,19.9.3A,1,5,530,42,163,88
Blueschist,19.9.4,1,5,498,33,120,225
Blueschist,20.1.5,1,5,330,29,123,27
Blueschist,50801,1,5,323,20,85,88
Blueschist,50803,1,5,320,18,108,47
Blueschist,70802,1,5,278,23,105,52
Blueschist,70815,1,5,394,28,155,64
Blueschist,70816,1,5,355,21,85,38
Blueschist,70818,1,5,412,27,112,160
Blueschist,70819,1,5,365,29,109,38
Blueschist,70824,1,5,318,19,129,34
Blueschist,70827,1,5,394,25,103,94
Blueschist,Q17-H816C01,1,5,87,23,61,65
Blueschist,Q17-H818A01,1,5,75,21,69,66
Blueschist,Q17-H818D01,1,5,149,30,98,63
Blueschist,Q17-H817C01,1,5,79,15,103,81
Blueschist,SEC 15-2,1,5,393,28,94,78
Blueschist,SEC 17-1,1,5,406,28,83,117
Blueschist,SEC 17-4,1,5,380,28,81,83
Blueschist,SEC 17-3,1,5,512,29,141,133
Blueschist,SEC 16-1,1,5,529,41,126,121
Blueschist,SEC 16-1,1,5,395,14,115,125
Blueschist,W251417,1,5,281,28,131,94
Blueschist,W251418,1,5,350,27,118,107
Blueschist,EA-1,1,5,437,25,114,120
Blueschist,D322297,1,5,294,16,85,117
Blueschist,M114743,1,5,400,23,98,46
Blueschist,M114744,1,5,245,19,109,43
Blueschist,M114745,1,5,300,22,87,61
Blueschist,M114746,1,5,369,16,111,135
Blueschist,M114747,1,5,399,35,409,202
Blueschist,M139099,1,5,400,51,116,33
Blueschist,M139101,1,5,400,52,117,38
Blueschist,M140084,1,5,374,25,104,37
Blueschist,M140087,1,5,424,31,185,92
Blueschist,M146776,1,5,366,53,378,128
Blueschist,M155058,1,5,419,22,108,113
Blueschist,M155059,1,5,353,39,323,140
Blueschist,M164197,1,5,410,23,99,128
Blueschist,M164199,1,5,482,37,141,64
Blueschist,M164200,1,5,379,20,127,120
Blueschist,M164201,1,5,329,24,83,34
Blueschist,M164208,1,5,347,22,101,36
Blueschist,M164209,1,5,465,30,84,122
Blueschist,M164210,1,5,383,24,99,128
Blueschist,M164211,1,5,464,20,108,122
Blueschist,M164219,1,5,429,22,101,115
Blueschist,M164221,1,5,464,29,91,104
Blueschist,W185379,1,5,384,25,118,26
Blueschist,W251385,1,5,350,29,95,24
Blueschist,W251386,1,5,303,24,101,31
Blueschist,W251390,1,5,319,22,108,34
Blueschist,W256369,1,5,456,35,140,111
Blueschist,W256371,1,5,317,24,121,40
Blueschist,W256372,1,5,312,27,113,38
Blueschist,W256373,1,5,445,32,136,99
Blueschist,W256374,1,5,458,33,130,95
Blueschist,D322258,1,5,487,35,307,247
Blueschist,D322298,1,5,520,34,309,268
Blueschist,M114741,1,5,497,23,117,127
Blueschist,M114742,1,5,239,18,94,81
Blueschist,M114748,1,5,323,37,308,202
Blueschist,M114749,1,5,368,36,311,196
Blueschist,M139097,1,5,447,40,120,45
Blueschist,M139103,1,5,400,17,102,95
Blueschist,M139105,1,5,371,46,115,28
Blueschist,M140090,1,5,363,26,138,33
Blueschist,M145685,1,5,435,25,102,91
Blueschist,M146773,1,5,392,23,114,36
Blueschist,M146774,1,5,375,19,109,114
Blueschist,M146775,1,5,343,22,130,30
Blueschist,M155071,1,5,447,30,200,155
Blueschist,M164202,1,5,381,28,99,44
Blueschist,M164203,1,5,373,29,90,64
Blueschist,M164204,1,5,395,33,83,56
Blueschist,M164205,1,5,333,24,201,43
Blueschist,M164206,1,5,425,30,86,59
Blueschist,M164207,1,5,261,23,185,61
Blueschist,A-45,1,5,333,31,96,25
Blueschist,SHUK-3,1,5,290,25,77,39
Blueschist,A-138,1,5,306,29,76,28
Blueschist,A-580,1,5,265,24,68,42
Blueschist,A-172,1,5,313,34,104,32
Blueschist,A-1053,1,5,300,39,110,49
Blueschist,RATTRAP,1,5,409,34,81,27
Blueschist,M142574,1,5,233,16,101,79
Blueschist,M142575,1,5,242,20,98,91
Blueschist,M165283,1,5,264,21,74,80
Blueschist,M178002,1,5,332,23,77,70
Blueschist,W188514,1,5,332,23,127,50
Blueschist,W188516,1,5,377,22,105,43
Blueschist,W188517,1,5,351,27,215,32
